Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,1,4.80235,146.093356683333,7.79319
1990,1,2,3.37079,251.167991752778,5.90028
1990,1,3,1.89993,185.823115402778,6.28054
1990,1,4,0.327686,149.250392041667,5.29763
1990,1,5,0.000160462,134.074168502778,5.95457
1990,1,6,0.508315,125.559481422222,6.22999
1990,1,7,0.238432,115.985343583333,6.27866
1990,1,8,0,105.748249636111,5.44676
1990,1,9,0,96.1662955944445,5.39671
1990,1,10,0,87.439860475,4.37789
1990,1,11,0,79.7920613388889,4.06559
1990,1,12,0,73.5682322361111,5.1569
1990,1,13,0,68.8922244525,5.81049
1990,1,14,0,65.4300729602778,4.97236
1990,1,15,0,62.8589685847222,5.35833
1990,1,16,0,61.0650079344444,5.36151
1990,1,17,0.00227754,59.8758792663889,3.96862
1990,1,18,0,58.9936431419445,3.70518
1990,1,19,0,58.1788395305555,3.79483
1990,1,20,0,57.3621173966667,4.23633
1990,1,21,0,56.5764469047222,4.81545
1990,1,22,0,55.825167705,4.33268
1990,1,23,0.000467013,55.2086114186111,5.05882
1990,1,24,0.29494,54.7994687313889,7.28916
1990,1,25,1.1871,54.8771333644445,9.62858
1990,1,26,1.59799,56.9490666080556,9.07124
1990,1,27,10.1269,64.2933128508333,8.68481
1990,1,28,1.15302,84.4974154111111,5.12266
1990,1,29,4.60114,124.131248005556,3.92129
1990,1,30,0.481212,193.555471641667,7.36979
1990,1,31,6.43993,289.27482255,6.04292
1990,2,1,0.485093,360.518800305556,4.86316
1990,2,2,1.25638,395.256137141667,8.86232
1990,2,3,0.000230025,408.955098355556,8.43677
1990,2,4,0.0793198,416.145294347222,8.06552
1990,2,5,0.632179,410.565946691667,8.17426
1990,2,6,0.82611,391.087258805556,9.43934
1990,2,7,0,361.480903811111,10.4588
1990,2,8,0,331.910077011111,10.2625
1990,2,9,0,303.415754502778,10.9894
1990,2,10,0,272.573728905556,9.65267
1990,2,11,0,241.971163338889,8.56847
1990,2,12,0,215.013079958333,9.46519
1990,2,13,0.000170107,193.810564077778,10.584
1990,2,14,0,178.959068236111,9.05015
1990,2,15,0,170.257502852778,8.85725
1990,2,16,0,165.552859344444,8.45799
1990,2,17,0,162.667259391667,9.18313
1990,2,18,0.0086684,158.834477775,8.86407
1990,2,19,0.000719717,153.583410636111,10.8482
1990,2,20,0.0123775,148.301078686111,11.0651
1990,2,21,0,143.505483,12.5116
1990,2,22,0,138.0312988,12.4556
1990,2,23,0,132.004295894444,12.7258
1990,2,24,0.120054,125.039348655556,12.6841
1990,2,25,0.305534,117.432051661111,10.6449
1990,2,26,0.412756,109.968999136111,9.6142
1990,2,27,0.717661,103.006894152778,12.5312
1990,2,28,0,96.6850072333333,11.48
1990,3,1,0,90.9450721388889,9.87021
1990,3,2,0.0318566,85.5504710944444,6.78165
1990,3,3,0.940315,80.5758133083333,3.92662
1990,3,4,0.860167,77.3057982916667,5.45965
1990,3,5,0.0185245,79.7167415666667,7.45296
1990,3,6,0,88.6265021694444,8.31413
1990,3,7,0.751485,99.1932977611111,9.36422
1990,3,8,0.277626,109.542660802778,10.4923
1990,3,9,0,116.282359288889,10.1626
1990,3,10,0.018439,119.551663741667,10.8018
1990,3,11,3.03572,117.724093419444,13.978
1990,3,12,0.501902,111.689274311111,13.4242
1990,3,13,0,102.420678944444,12.4547
1990,3,14,0,91.4204393805555,12.2242
1990,3,15,0,80.6177365777778,12.1754
1990,3,16,0,71.4749110194444,12.7487
1990,3,17,0,64.2623322652778,12.2584
1990,3,18,0,58.9932168036111,12.0704
1990,3,19,0,55.2432869363889,12.8615
1990,3,20,0,52.1954652477778,14.2956
1990,3,21,0,49.5697895655556,15.5775
1990,3,22,0,47.2755208811111,15.4886
1990,3,23,5.28929,45.1457477369444,13.5758
1990,3,24,0.650406,43.0980447219444,11.8123
1990,3,25,0,41.0732929205556,10.4193
1990,3,26,0,39.2270347680556,7.69306
1990,3,27,0,37.5975696580556,6.58755
1990,3,28,0,35.9239785305556,6.92855
1990,3,29,0,34.2525190947222,7.43026
1990,3,30,1.34313,32.7076821438889,7.53054
1990,3,31,5.55565,31.4381176436111,9.32521
1990,4,1,6.74278,31.4749959094444,11.1481
1990,4,2,1.03694,36.7285500219444,9.51405
1990,4,3,0.000330569,51.2723006433333,10.2863
1990,4,4,3.31935,67.3422714416667,9.80876
1990,4,5,13.1476,91.5867113305556,10.0047
1990,4,6,4.96733,125.884209119444,9.54457
1990,4,7,2.48967,182.660395533333,8.88729
1990,4,8,5.17603,304.690506119444,8.20144
1990,4,9,1.70306,432.039897977778,7.79763
1990,4,10,0.00407029,478.532093227778,6.54694
