Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,1,4.15076,133.842190732639,5.01507
1990,1,2,1.39887,255.746427440972,3.24038
1990,1,3,0.746442,162.411786087963,3.43361
1990,1,4,0.00385691,169.282598876157,1.76927
1990,1,5,0,170.462861195602,3.09433
1990,1,6,2.2904,159.39013706713,5.44307
1990,1,7,0.848728,149.559054814815,3.83972
1990,1,8,0,143.60671683912,2.92788
1990,1,9,0,140.369869613426,2.68557
1990,1,10,0,137.751994543981,2.14615
1990,1,11,0,135.044638434028,1.08112
1990,1,12,0,132.712215278935,1.4568
1990,1,13,0,130.983234512731,1.26799
1990,1,14,0.147847,129.77930778588,0.24663
1990,1,15,0.00827587,128.814243671296,1.81573
1990,1,16,0,127.434312914352,1.62677
1990,1,17,3.2886,125.98560747338,1.33495
1990,1,18,0.0375777,125.283070378472,2.39348
1990,1,19,0,125.045686791667,1.81388
1990,1,20,0,123.347026047454,1.05169
1990,1,21,0,119.469021283565,0.654617
1990,1,22,0,115.01419658912,0.482956
1990,1,23,0,110.755342768519,2.77926
1990,1,24,0.0849771,106.804865756944,7.17257
1990,1,25,2.04112,102.982324447917,8.27449
1990,1,26,1.32335,99.7121991493056,5.36923
1990,1,27,10.4655,99.6227181087963,6.06706
1990,1,28,0.0748008,103.181253372685,2.65612
1990,1,29,4.34246,111.647195122685,1.42997
1990,1,30,0.830269,124.29360234375,4.51582
1990,1,31,4.96689,135.748654554398,4.00008
1990,2,1,3.31536,157.589423565972,2.70655
1990,2,2,1.77317,203.630007202546,7.34993
1990,2,3,0.116085,278.302305263889,6.5104
1990,2,4,0,348.544182550926,5.22652
1990,2,5,0.778683,386.85242106713,5.4995
1990,2,6,1.51031,401.732156737269,6.93901
1990,2,7,0.106762,406.050171576389,8.18424
1990,2,8,1.27702,403.748068443287,8.2446
1990,2,9,0,394.577371060185,10.202
1990,2,10,0.202764,382.046327825232,8.91414
1990,2,11,0.907267,370.364245206018,4.72565
1990,2,12,0.300197,361.896084917824,7.28022
1990,2,13,0,351.908225966435,8.69151
1990,2,14,0,336.428005958333,7.26579
1990,2,15,0,318.162041490741,7.54957
1990,2,16,0,299.913085815972,6.49082
1990,2,17,0,282.203234922454,6.91358
1990,2,18,1.31072,265.576030667824,6.27114
1990,2,19,0.00503883,250.25924297338,8.76748
1990,2,20,0.942261,236.859272278935,8.47291
1990,2,21,0.16675,224.98121878588,10.0316
1990,2,22,0,214.044565,9.8209
1990,2,23,0,203.764598519676,10.9801
1990,2,24,0.00100088,194.755114912037,11.0419
1990,2,25,0,186.709216393518,8.83654
1990,2,26,0,179.381384737269,8.60605
1990,2,27,0,172.427007010417,10.6796
1990,2,28,0,165.960707686343,9.44436
1990,3,1,0.266437,160.098590263889,6.81481
1990,3,2,0.107023,154.45832666088,2.77996
1990,3,3,0,148.583637521991,1.30947
1990,3,4,0,143.258406342593,2.79128
1990,3,5,0,138.702268403935,5.0485
1990,3,6,0,133.708338928241,6.04704
1990,3,7,2.1506,129.727541894676,7.40498
1990,3,8,0.341083,126.643773804398,9.09645
1990,3,9,0,124.266240372685,7.52705
1990,3,10,0,121.499723244213,9.04379
1990,3,11,1.58159,118.21850525463,12.0799
1990,3,12,0.00218265,115.417970540509,12.4949
1990,3,13,0.238145,113.220878215278,10.7387
1990,3,14,0,111.103653265046,9.61019
1990,3,15,0,108.858492612269,9.51469
1990,3,16,0,107.254489497685,10.4324
1990,3,17,0,106.903960462963,11.5111
1990,3,18,0,108.366716645833,10.6514
1990,3,19,0,110.437352293982,11.7581
1990,3,20,0,110.998642457176,13.689
1990,3,21,0,109.93226509838,14.2818
1990,3,22,1.11287,107.986607101852,13.6175
1990,3,23,3.98224,106.622206112269,10.4359
1990,3,24,0.362579,104.953865390046,9.17899
1990,3,25,0.0196494,103.059233771991,6.67356
1990,3,26,0,101.776918695602,3.8841
1990,3,27,0,100.929437105324,3.42993
1990,3,28,0.00120421,101.437482351852,3.28927
1990,3,29,0,101.8708368125,4.16789
1990,3,30,0.000543287,105.217871435185,5.21917
1990,3,31,1.14152,111.028222966435,7.38938
1990,4,1,3.99002,115.969647038194,9.67594
1990,4,2,2.71875,118.1637813125,7.2291
1990,4,3,0.180795,118.542411831019,6.74143
1990,4,4,7.47002,119.340346068287,5.98151
1990,4,5,8.20498,123.551871074074,6.11402
1990,4,6,5.97621,133.348935740741,7.14512
1990,4,7,8.40905e-06,147.69991980787,6.65415
1990,4,8,6.1107,162.598882809028,5.32463
1990,4,9,0.833804,177.694556196759,4.5549
1990,4,10,0.209642,200.245996943287,3.71844
1990,4,11,0.0462572,226.6236765625,8.36316
1990,4,12,0.0283791,249.573714671296,8.42087
1990,4,13,1.03565,273.016268259259,7.85724
1990,4,14,0.00887852,305.661318277778,6.96903
1990,4,15,0.317539,337.85378650463,8.46613
1990,4,16,0.129672,343.466688136574,7.09944
1990,4,17,0.0554542,332.424284030093,7.82349
1990,4,18,0.356532,316.592055961806,5.19066
1990,4,19,0.493678,299.328870758102,7.83775
1990,4,20,2.44942,282.881368097222,4.81972
1990,4,21,3.32982,269.99683777662,3.04623
1990,4,22,2.24934,261.334185640046,4.52902
