Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,2,2.38672,0.000338806712962963,6.7717
1990,1,3,4.09084,0.000320856481481482,6.3172
1990,1,4,3.86079,0.000316125,5.74106
1990,1,5,0,0.000306697916666667,4.95846
1990,1,6,0,0.000301461805555556,4.46908
1990,1,7,3.12644,0.000354283564814815,4.07955
1990,1,8,0.00760243,0.000370336805555556,4.33444
1990,1,9,0.0377623,0.000412711805555556,3.80396
1990,1,10,0.241323,0.000471228009259259,2.50395
1990,1,11,0.253336,0.000536653935185185,2.68201
1990,1,12,1.03496,0.000579872685185185,5.60512
1990,1,13,1.0849,0.000624923611111111,4.92663
1990,1,14,0,0.000671966435185185,4.52682
1990,1,15,0,0.000698650462962963,3.9694
1990,1,16,0,0.000697078703703704,3.18773
1990,1,17,0,0.000679686342592593,3.6931
1990,1,18,0,0.000661729166666667,1.18013
1990,1,19,0,0.000646200231481482,2.857
1990,1,20,0,0.000631063657407407,2.77415
1990,1,21,0,0.000612083333333333,3.56084
1990,1,22,0,0.000591241898148148,3.21289
1990,1,23,0,0.000568290509259259,3.08807
1990,1,24,0,0.000545377314814815,4.63585
1990,1,25,0,0.000523490740740741,8.12011
1990,1,26,0.0285178,0.000500417824074074,8.66818
1990,1,27,0.872842,0.000481233796296296,8.78258
1990,1,28,2.25254,0.000461570601851852,5.07007
1990,1,29,0.459257,0.000441903935185185,2.38393
1990,1,30,0,0.000422212962962963,5.60906
1990,1,31,3.56047,0.000403337962962963,4.29245
1990,2,1,0,0.000383821759259259,3.87773
1990,2,2,0,0.000365863425925926,7.08565
1990,2,3,0,0.000348822916666667,6.22408
1990,2,4,0,0.000336361111111111,6.36011
1990,2,5,0,0.000324916666666667,7.54921
1990,2,6,0,0.000318021990740741,8.78283
1990,2,7,0,0.000317072916666667,9.59078
1990,2,8,0,0.000321126157407407,9.06783
1990,2,9,0,0.000334399305555556,9.44589
1990,2,10,0,0.000352550925925926,8.81247
1990,2,11,0,0.00036675,8.49537
1990,2,12,0,0.000369641203703704,8.78205
1990,2,13,0,0.000366469907407407,9.72735
1990,2,14,0,0.000355645833333333,8.98641
1990,2,15,0,0.000339928240740741,8.73739
1990,2,16,0,0.000322200231481481,9.31434
1990,2,17,0,0.000304008101851852,9.8241
1990,2,18,0,0.000286686342592593,9.54238
1990,2,19,0,0.000270664351851852,9.36417
1990,2,20,0,0.000254792824074074,9.45552
1990,2,21,0,0.00023840625,11.345
1990,2,22,0,0.0002228125,10.7542
1990,2,23,0,0.0002065625,11.1208
1990,2,24,0,0.000191523148148148,11.0248
1990,2,25,0,0.000179751157407407,10.3504
1990,2,26,0,0.000169905092592593,9.48756
1990,2,27,0,0.0001576875,11.6881
1990,2,28,0,0.000147721064814815,12.615
1990,3,1,0,0.000139604166666667,9.55126
1990,3,2,3.63051,0.000136982638888889,4.76794
1990,3,3,0.125312,0.000132982638888889,2.4513
1990,3,4,4.26477e-05,0.000125795138888889,3.69011
1990,3,5,0,0.000119765046296296,5.08745
1990,3,6,0,0.000114081134259259,6.80226
1990,3,7,0,0.000108371759259259,7.28196
1990,3,8,2.77683,0.000104811342592593,8.34145
1990,3,9,0,0.000101374768518519,9.8491
1990,3,10,0,9.83556712962963e-05,9.56769
1990,3,11,0.0513293,9.59189814814815e-05,12.0254
1990,3,12,1.21446,9.47570601851852e-05,12.9957
1990,3,13,0,9.25943287037037e-05,11.7977
1990,3,14,0,9.21929398148148e-05,10.9872
1990,3,15,0,9.15295138888889e-05,11.4042
1990,3,16,0,8.82302083333333e-05,10.4329
1990,3,17,0,8.88299768518518e-05,8.46604
1990,3,18,0,8.89237268518518e-05,9.83557
1990,3,19,0,8.58584490740741e-05,9.51052
1990,3,20,0,8.14747685185185e-05,11.3329
1990,3,21,0,7.64905092592593e-05,13.1656
1990,3,22,0,6.99144675925926e-05,15.3114
1990,3,23,3.45092,7.08891203703704e-05,13.2989
1990,3,24,4.48867,7.46144675925926e-05,10.1236
1990,3,25,0,7.43027777777778e-05,9.04552
1990,3,26,0,7.0278125e-05,5.36236
1990,3,27,0,6.55137731481482e-05,4.45918
1990,3,28,0,6.2302662037037e-05,4.84714
1990,3,29,0,6.04347222222222e-05,5.07163
1990,3,30,1.05985,6.1828587962963e-05,4.61168
1990,3,31,4.52467,6.71405092592593e-05,8.04014
1990,4,1,8.50749,7.97996527777778e-05,9.08317
1990,4,2,0.0169909,8.54056712962963e-05,7.82224
1990,4,3,0,8.56134259259259e-05,8.3009
1990,4,4,1.64684,9.10003472222222e-05,7.77547
1990,4,5,8.66902,0.000105586805555556,10.4509
1990,4,6,2.76688,0.000127063657407407,9.72846
1990,4,7,0.000915977,0.000153225694444444,8.48531
1990,4,8,15.451,0.000207258101851852,6.56177
1990,4,9,3.16291,0.000259585648148148,5.79754
1990,4,10,0,0.000306846064814815,4.18746
1990,4,11,0,0.000362438657407407,7.67695
1990,4,12,0,0.00043259375,11.2218
1990,4,13,1.38576,0.000493815972222222,11.4791
1990,4,14,0,0.00053144212962963,10.167
1990,4,15,0,0.000554686342592593,10.8491
1990,4,16,0,0.000561412037037037,10.0467
1990,4,17,0,0.000546577546296296,9.56426
1990,4,18,0,0.000518396990740741,7.33891
1990,4,19,0,0.000478997685185185,9.39627
1990,4,20,0.46795,0.000445217592592593,8.04798
1990,4,21,0,0.000457863425925926,5.74756
1990,4,22,1.83087,0.000472777777777778,4.33568
1990,4,23,0.00664519,0.000463420138888889,6.10379
1990,4,24,0.103321,0.000444280092592593,8.58756
1990,4,25,8.22414,0.000432737268518519,9.20803
1990,4,26,0,0.000418603009259259,10.2666
1990,4,27,0,0.000399103009259259,10.4492
1990,4,28,0.164241,0.000386413194444444,11.8496
1990,4,29,1.0815,0.000379702546296296,11.0428
1990,4,30,0.861426,0.000375561342592593,9.79785
1990,5,1,2.73927,0.000391819444444444,9.03621
1990,5,2,0,0.000405046296296296,9.42638
1990,5,3,0,0.000410106481481482,10.5573
1990,5,4,0,0.000407663194444444,10.3901
1990,5,5,0,0.000405030092592593,11.3397
1990,5,6,0,0.000398158564814815,12.0773
1990,5,7,0,0.000383083333333333,13.5413
1990,5,8,0,0.000368643518518519,14.4006
1990,5,9,0.908597,0.000359678240740741,12.9111
1990,5,10,0.177137,0.000353813657407407,11.905
1990,5,11,0,0.000335238425925926,13.5277
1990,5,12,4.1404,0.000314025462962963,11.9961
1990,5,13,0,0.000295340277777778,13.6335
1990,5,14,0,0.000269976851851852,15.2867
1990,5,15,0,0.000250431712962963,17.1623
1990,5,16,0.304343,0.000231760416666667,18.1695
1990,5,17,0,0.000206016203703704,18.0944
1990,5,18,0,0.000187472222222222,17.8514
1990,5,19,0.337,0.00017666087962963,17.8628
1990,5,20,0,0.000162704861111111,17.4079
1990,5,21,0.281731,0.000142016203703704,16.6232
1990,5,22,0.213527,0.00012771412037037,16.6338
1990,5,23,1.6481,0.000128038194444444,15.3965
1990,5,24,0,0.000117243055555556,13.9269
1990,5,25,0,0.000104470486111111,15.0374
1990,5,26,1.40409,9.24260416666667e-05,18.4339
1990,5,27,8.81037,0.000103780439814815,17.6147
1990,5,28,0,0.000111739583333333,15.2401
1990,5,29,0,9.38440972222222e-05,16.3299
1990,5,30,0,7.72300925925926e-05,18.0809
1990,5,31,0,6.363125e-05,17.9171
1990,6,1,0,5.27612268518518e-05,17.7304
