Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,1,0.919802,143.123237951273,4.66553
1990,1,2,3.1926,27.2149151336806,3.33073
1990,1,3,2.03963,25.9401852773148,3.95629
1990,1,4,0.438725,35.7130650592593,3.54069
1990,1,5,0.38378,39.0879827138889,6.11446
1990,1,6,13.1468,55.1542057122685,4.61671
1990,1,7,0.206404,104.012563248264,2.74306
1990,1,8,0,119.045858689931,2.4621
1990,1,9,0,114.720382452083,2.83081
1990,1,10,0,110.222211335995,1.34991
1990,1,11,0,99.1874211980324,1.92016
1990,1,12,0,86.8124775467593,2.10123
1990,1,13,0.330829,75.8887897451389,2.41003
1990,1,14,0,66.9540400548611,2.38058
1990,1,15,0,59.7189792899306,2.30336
1990,1,16,0,53.5122782137732,2.85888
1990,1,17,2.60059,48.2050050700232,2.4058
1990,1,18,0,43.8363551126157,3.46597
1990,1,19,0,40.2856482175926,2.32265
1990,1,20,0,37.579112787963,1.87292
1990,1,21,0.0106649,34.41372765625,2.90262
1990,1,22,0.206611,31.5288980263889,3.21762
1990,1,23,1.09501,29.2269872858796,5.66395
1990,1,24,1.84057,28.8428443271991,8.9118
1990,1,25,10.6457,40.5457219890046,8.10622
1990,1,26,3.48773,81.5392423866898,4.74797
1990,1,27,21.5584,182.4524335625,4.99801
1990,1,28,0.423106,296.498834467593,3.16393
1990,1,29,17.3342,412.469633930556,3.04465
1990,1,30,5.23389,466.510458670139,4.98808
1990,1,31,13.9717,516.011412079861,4.57172
1990,2,1,19.2849,574.141215378472,3.95821
1990,2,2,9.18449,625.316071362269,6.75235
1990,2,3,0.0115207,636.877197767361,6.19468
1990,2,4,0,601.493903303241,5.36531
1990,2,5,6.18267,544.168634164352,7.06872
1990,2,6,3.29283,496.347477351852,6.87902
1990,2,7,2.89769,456.453781673611,9.59188
1990,2,8,8.64408,428.105003836806,8.85011
1990,2,9,0.94653,417.40587831713,9.66641
1990,2,10,2.41708,406.431207215278,8.24529
1990,2,11,3.94799,383.689118898148,4.7333
1990,2,12,3.35443,358.565845229167,7.23857
1990,2,13,0.00014243,335.064901431713,8.23625
1990,2,14,0,307.108076134259,8.1553
1990,2,15,0,276.908575028935,7.89799
1990,2,16,0,248.387397015046,7.99608
1990,2,17,0.0179335,223.05783253588,7.48855
1990,2,18,9.42024,208.825240138889,6.24581
1990,2,19,0.0245757,219.489001519676,8.18362
1990,2,20,4.89691,219.493422037037,9.51012
1990,2,21,0,211.339041011574,8.8171
1990,2,22,0,199.708659834491,10.8268
1990,2,23,0,183.71080750463,11.5964
1990,2,24,1.32622,167.354893268519,10.6785
1990,2,25,0,154.233324234954,7.71523
1990,2,26,0.123151,143.011988264352,9.35722
1990,2,27,0,132.957374175926,9.41923
1990,2,28,0.232954,123.195250986227,8.78007
1990,3,1,0.476667,113.744479569329,5.40419
1990,3,2,0.139948,106.091532563194,3.91672
1990,3,3,0,99.4706290103009,3.17317
1990,3,4,0,92.4144518479167,3.53002
1990,3,5,0,85.786180766088,6.76265
1990,3,6,0,79.3121857401621,7.56825
1990,3,7,1.28535,73.5106987554398,8.59218
1990,3,8,5.60963,74.4279561078704,8.19735
1990,3,9,0,84.2958770130787,8.0327
1990,3,10,0,89.3757882138889,9.82994
1990,3,11,4.02897,85.5602923289352,13.527
1990,3,12,0,95.3552746976852,12.4264
1990,3,13,0.57243,99.7183253331019,10.149
1990,3,14,0,92.0905752759259,8.35689
1990,3,15,0,85.2881358100694,10.0728
1990,3,16,0,77.3057129099537,11.1077
1990,3,17,0,70.1278241695602,12.9317
1990,3,18,0,63.64749306875,12.0271
1990,3,19,0,57.8566153256944,13.4673
1990,3,20,0,52.6272906380787,14.3793
1990,3,21,0,47.9066201481482,14.0043
1990,3,22,3.77724,43.9757487600695,11.8009
1990,3,23,3.64442,44.1163212121528,9.71035
1990,3,24,0.564654,54.7637266787037,8.88411
1990,3,25,0,64.6138181638889,8.90734
1990,3,26,0,64.8246768420139,5.65485
1990,3,27,0,60.0220794303241,4.87929
1990,3,28,0,55.1475749362269,4.43673
1990,3,29,0,50.2987094428241,5.53406
1990,3,30,0,45.4710624327546,5.70755
1990,3,31,0.399506,41.3112082453704,7.13586
1990,4,1,4.71814,39.68121614375,11.0764
1990,4,2,4.32595,51.4661680778935,7.26535
1990,4,3,0.199667,69.6464298289352,5.95147
1990,4,4,6.44911,73.2684544040509,5.0364
1990,4,5,13.8581,96.5480776322917,4.67626
1990,4,6,6.859,147.78526291088,5.29221
1990,4,7,0.00014243,168.882918769676,6.98109
1990,4,8,1.54898,164.969287399306,6.22062
1990,4,9,0.248641,160.724117226852,6.10628
1990,4,10,0.973155,153.134088917824,3.48933
1990,4,11,0,143.004768085995,7.98997
1990,4,12,0.0028331,131.585098236458,8.54954
1990,4,13,4.60447,121.702294922801,7.1449
1990,4,14,0.521882,123.101093966435,5.97982
1990,4,15,0.778913,120.838967882176,7.54429
1990,4,16,1.69741,112.70654209294,7.11286
1990,4,17,0.117228,108.270258219907,6.93759
1990,4,18,0.324024,103.097074102778,4.5061
1990,4,19,0.241855,96.8903730266204,7.0054
1990,4,20,3.18548,91.6097703376157,4.63717
1990,4,21,3.68622,91.0748877369213,2.94889
1990,4,22,1.67177,97.6657317717593,4.68418
1990,4,23,2.43136,103.155130230787,6.70091
1990,4,24,0.904741,109.305985437616,7.49848
1990,4,25,0,112.035360206944,7.65646
1990,4,26,0,109.693517459606,7.71123
1990,4,27,0,105.426097349769,10.2683
1990,4,28,0,99.0633520107639,12.9587
1990,4,29,0,91.0684043114583,15.3454
1990,4,30,0.643651,83.4520002488426,15.0382
1990,5,1,0,77.4847438630787,13.9753
1990,5,2,0,71.8621404809028,14.5235
1990,5,3,0,65.7619738731482,14.5759
1990,5,4,0,59.9886308489583,15.5983
1990,5,5,0.0446733,55.4206155585648,16.0985
1990,5,6,0,51.6307586743056,15.0654
1990,5,7,0,48.3134550959491,14.4781
1990,5,8,0.280837,44.9594612234954,14.1978
1990,5,9,0.902838,42.5826963890046,13.6148
1990,5,10,0,44.2315493646991,13.1473
1990,5,11,8.41805,50.0462979015046,14.2469
1990,5,12,7.14656,60.2319066543982,12.4161
1990,5,13,8.13887e-05,85.2502667113426,11.6307
1990,5,14,0.656217,92.5321849603009,12.1354
1990,5,15,0,85.641924549537,13.3759
1990,5,16,3.29191,78.7493065295139,15.3364
1990,5,17,0,76.4917483131944,14.5668
1990,5,18,1.86878,76.897257105787,13.1976
1990,5,19,0.10839,73.0279782596065,13.2012
1990,5,20,0.371968,69.4063957362269,12.7258
1990,5,21,0.638692,64.0784935114583,11.59
1990,5,22,3.30534,60.1020907945602,11.1385
1990,5,23,1.18444,60.9863416173611,11.5465
1990,5,24,0,63.928490622338,13.3516
1990,5,25,0,60.2976250125,15.256
1990,5,26,1.50169,59.9675597162037,14.4993
1990,5,27,0,61.9915672652778,15.1804
1990,5,28,0,57.8927162174769,14.2571
1990,5,29,0,52.6194810574074,16.0222
1990,5,30,0,47.4539591703704,16.6472
1990,5,31,0,42.7478763877315,18.979
1990,6,1,0,39.0146021256944,16.9667
1990,6,2,0,35.62318120625,17.8423
1990,6,3,0,32.2603462990741,19.0348
1990,6,4,5.80312,30.4473447787037,14.7379
1990,6,5,0,32.1473284052083,11.8096
1990,6,6,0,36.5296819664352,13.136
1990,6,7,0.0874191,34.7719369130787,14.7598
1990,6,8,0.000310659,32.7356992659722,15.3307
1990,6,9,0,30.4953810673611,15.6979
1990,6,10,0.035272,28.2269189082176,15.9934
1990,6,11,0,26.4986439706019,16.4491
1990,6,12,0,25.9481422085648,14.9403
1990,6,13,3.04404,25.3155661741898,14.8623
1990,6,14,0,27.7039717043981,15.8727
1990,6,15,0,33.2291763540509,16.1333
1990,6,16,0.579164,31.8100429305556,15.7374
1990,6,17,0,29.793255559838,14.3878
1990,6,18,4.74639,28.0408151273148,14.3478
1990,6,19,0.171437,27.9118833709491,14.6184
1990,6,20,0,30.2862905961806,13.3821
1990,6,21,1.11851,29.4089652505787,12.3641
1990,6,22,0,28.4289365516204,13.6191
1990,6,23,0,26.760633299537,16.1076
1990,6,24,0,24.5506693201389,18.8461
1990,6,25,5.91677,25.8080118082176,21.5782
1990,6,26,1.35855,28.9812065206019,20.3929
1990,6,27,0.0894335,32.8335400502315,18.0502
1990,6,28,0,33.7848353863426,16.8244
1990,6,29,0,31.5579260903935,16.8405
1990,6,30,0,29.1076333171296,14.6167
1990,7,1,0.637169,26.7302790803241,13.5889
1990,7,2,0,24.4573964038194,16.8174
1990,7,3,0,22.8381608944444,15.7416
1990,7,4,0.245946,21.0270749315972,16.6641
1990,7,5,0.91737,19.3496359436343,15.9909
1990,7,6,0,18.0843365243056,14.2133
1990,7,7,0,16.8125536795139,18.0456
1990,7,8,0,15.408597365625,21.1245
1990,7,9,0.00795676,14.0891908137963,20.9549
1990,7,10,0,13.06050695375,20.7083
1990,7,11,0,11.8512154893866,21.3671
1990,7,12,0,11.0488915883449,23.39
1990,7,13,0.000310659,10.7082612555556,22.1643
1990,7,14,0,10.5357579330671,19.0709
1990,7,15,0,10.1833837591551,19.957
1990,7,16,0,9.33250784243056,22.2305
1990,7,17,0,8.47161208635417,24.1265
1990,7,18,0,7.72089035797454,25.4664
1990,7,19,0,7.00674104322917,27.5904
1990,7,20,0,6.55687972644676,27.8034
1990,7,21,0.363079,6.31792129296296,27.5017
1990,7,22,0,6.18683821814815,24.6543
1990,7,23,4.00896,6.33776941591435,24.2536
1990,7,24,0.210356,6.96278636560185,24.025
1990,7,25,0,9.437716155625,22.5136
1990,7,26,0.235009,11.0182426679745,18.2421
1990,7,27,5.27763,11.2167828377199,16.1168
1990,7,28,0,11.8136410918171,15.6191
1990,7,29,0,12.997986103206,17.6684
1990,7,30,0,13.1787115879861,20.0177
1990,7,31,0,12.4612026800463,21.5066
1990,8,1,0,11.6377487060185,25.808
1990,8,2,0,10.9437127452662,24.3366
1990,8,3,0,10.3715651832176,25.7456
1990,8,4,0,9.50616049943287,26.0804
1990,8,5,0,8.55430523112268,24.1264
1990,8,6,0,7.83109385578704,21.0756
1990,8,7,0,7.33156065892361,17.9474
1990,8,8,0,6.84444911584491,17.0311
1990,8,9,0,6.21907852476852,19.2915
1990,8,10,0,5.79454677246528,21.7196
1990,8,11,0,5.58827069733796,21.9531
1990,8,12,0,5.45241346377315,20.8059
1990,8,13,0,5.33910086875,19.3747
1990,8,14,0,5.19833686091435,18.2524
1990,8,15,0.00295415,5.04062753652778,17.4968
1990,8,16,0,4.81353082462963,18.0782
1990,8,17,0,4.52036211324074,16.6801
1990,8,18,0,4.23519453827546,18.9651
1990,8,19,2.44176,4.06089353872685,22.1004
1990,8,20,4.03849,4.47574435800926,21.5034
1990,8,21,1.18685,7.98816957268519,20.444
1990,8,22,1.77908,14.5849665709028,19.7453
1990,8,23,9.77637,23.0873307230324,20.0816
1990,8,24,0.28101,44.5729606555556,18.4521
1990,8,25,0.0183574,47.9433104422454,19.1307
1990,8,26,0,42.7615799915509,19.4065
1990,8,27,0,38.3357580096065,19.7688
1990,8,28,0,34.6605398755787,20.9977
1990,8,29,4.99632,31.7340100319444,18.8038
1990,8,30,0,29.9071575571759,15.7919
1990,8,31,0.00124264,28.9717760835648,13.5309
1990,9,1,0.131631,26.7610753512731,15.4862
1990,9,2,0,24.816195062963,18.6118
1990,9,3,0,22.9794700994213,18.8765
1990,9,4,0,21.1000134680556,18.3292
1990,9,5,0,19.3575928748843,18.58
