Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,2,1.00303,0.0198806712962963,0.962825
1990,1,3,11.2636,0.0293054398148148,3.03531
1990,1,4,3.15704,0.0354771990740741,3.21434
1990,1,5,1.66753,0.0357810185185185,5.01378
1990,1,6,8.32071,0.0461136574074074,4.99668
1990,1,7,9.11035,0.060671412037037,2.2593
1990,1,8,0,0.0605100694444444,3.66938
1990,1,9,0,0.0515686342592593,2.86792
1990,1,10,0,0.0445342592592593,1.26578
1990,1,11,0,0.0389538194444444,1.19311
1990,1,12,0,0.0342020833333333,0.944813
1990,1,13,0,0.0301295138888889,1.20021
1990,1,14,0,0.0265609953703704,0.90203
1990,1,15,0,0.0233909722222222,0.680447
1990,1,16,0,0.0205491898148148,1.7985
1990,1,17,0,0.0180734953703704,0.841512
1990,1,18,0,0.0159391203703704,3.64142
1990,1,19,0,0.0152146990740741,1.75934
1990,1,20,0,0.0142726851851852,0.952756
1990,1,21,0,0.0131106481481481,2.50216
1990,1,22,0,0.0123033564814815,2.52907
1990,1,23,0.621862,0.0127806712962963,5.07033
1990,1,24,3.48237,0.0169325231481481,7.93359
1990,1,25,6.26096,0.0263510416666667,8.33704
1990,1,26,11.7883,0.0407256944444444,5.01696
1990,1,27,23.6918,0.0648491898148148,5.48646
1990,1,28,19.0476,0.0942,4.20848
1990,1,29,10.7664,0.112536574074074,3.40987
1990,1,30,16.1296,0.141733796296296,5.46845
1990,1,31,20.0715,0.160263888888889,5.02586
1990,2,1,28.5468,0.179387731481481,3.8274
1990,2,2,20.6814,0.193126157407407,5.46268
1990,2,3,10.3099,0.184810185185185,5.61335
1990,2,4,0,0.166482638888889,5.2828
1990,2,5,0.0598381,0.15049537037037,7.35075
1990,2,6,8.73602,0.141357638888889,6.48011
1990,2,7,3.08676,0.13465625,10.0917
1990,2,8,9.57453,0.12869212962963,10.1395
1990,2,9,2.69994,0.122755787037037,10.8542
1990,2,10,3.16009,0.115002083333333,8.21195
1990,2,11,3.63327,0.10614224537037,4.27371
