Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,1,0,3632.89490063657,-3.67884
1990,1,2,0,2218.7484744213,-3.29657
1990,1,3,0,1077.95685595139,-2.78127
1990,1,4,0,905.818678829861,-4.46829
1990,1,5,3.25411,855.251127015046,-4.49032
1990,1,6,0.0788022,874.57129002662,-4.95372
1990,1,7,0,909.633101388889,-7.18715
1990,1,8,0,936.413851679398,-7.97779
1990,1,9,0.00757614,950.202321402778,-5.93717
1990,1,10,0.000689574,960.781749864583,-4.27129
1990,1,11,0,969.845123157407,-4.83396
1990,1,12,0,970.811304769676,-5.23386
1990,1,13,0,963.508567628472,-5.30049
1990,1,14,0,953.69410521875,-4.87857
1990,1,15,0.140797,945.137240060185,-4.05192
1990,1,16,0.248102,938.35141875463,0.935501
1990,1,17,0.676126,936.308040048611,4.28315
1990,1,18,0.423013,995.515718633102,0.91079
1990,1,19,0.000888608,1098.42533534954,-0.857451
1990,1,20,1.27154,1103.20073567014,0.549093
1990,1,21,0.45613,1059.84572091782,3.12582
1990,1,22,0.00514617,1055.79712507755,2.85366
1990,1,23,0.646673,1091.24228677431,1.57661
1990,1,24,2.1886,1081.51282059259,2.50732
1990,1,25,2.82922,1052.281056625,4.31186
1990,1,26,3.47029,1087.33592951968,3.34502
1990,1,27,0.0485062,1194.78677327546,1.67319
1990,1,28,2.00144,1251.75679606134,3.34775
1990,1,29,0.388165,1218.78693267824,2.38807
1990,1,30,0.017272,1169.46657041319,2.58785
1990,1,31,0.000192435,1118.68045686921,3.17347
1990,2,1,0.00470157,1079.3480187037,3.10342
1990,2,2,1.50209,1047.17260985995,2.63694
1990,2,3,0.184873,1018.01716903588,4.6515
1990,2,4,0.000378026,998.372632664352,3.86319
1990,2,5,0,982.75067287963,2.21649
1990,2,6,0,976.922360101852,2.92821
1990,2,7,0,970.6950854375,3.73185
1990,2,8,1.47021,962.842474739583,5.50772
1990,2,9,6.93315e-05,957.79647418287,2.46135
1990,2,10,1.85615,960.760934461806,1.46441
1990,2,11,3.7393,981.702964273148,0.320267
