Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,1,0,4629.56082960648,-4.47241
1990,1,2,0,939.230248322917,-3.8928
1990,1,3,0,743.39499705787,-2.91007
1990,1,4,0,677.850963773148,-4.56238
1990,1,5,4.78751,696.053716255787,-4.13805
1990,1,6,0.116133,737.872377293981,-3.91175
1990,1,7,0,778.192680497685,-6.49256
1990,1,8,0,798.552927018519,-7.37916
1990,1,9,0.0111651,796.236534074074,-5.8061
1990,1,10,0.00101624,785.412575986111,-4.7832
1990,1,11,0,775.105333600695,-4.88499
1990,1,12,0,767.123900391204,-5.70408
1990,1,13,0,761.585979251157,-5.16246
1990,1,14,0,757.8206636875,-4.94241
1990,1,15,0.119961,754.508504263889,-3.8245
1990,1,16,0.319716,752.753554121528,1.40947
1990,1,17,0.98333,805.600976282407,3.8249
1990,1,18,0.592624,917.292783028935,-0.0641876
1990,1,19,0,930.778003539352,-2.00507
1990,1,20,1.82922,882.480975241898,0.0703671
1990,1,21,0.403351,872.018365037037,2.37487
1990,1,22,0,910.644923603009,1.63878
1990,1,23,0.953019,905.906205109954,1.02461
1990,1,24,3.21277,871.542845347222,2.45468
1990,1,25,4.04144,896.904287813658,4.01252
1990,1,26,3.10982,999.870779063658,2.34111
1990,1,27,0.0391624,1068.21025606944,0.838583
1990,1,28,2.89918,1025.86664012616,2.53588
1990,1,29,0.411706,968.801923290509,1.46718
1990,1,30,0.0254541,920.46723006713,1.48811
1990,1,31,0.000283596,883.655650119213,2.46224
1990,2,1,0.00692882,855.894245653935,1.77699
1990,2,2,2.0864,830.112603857639,1.23049
1990,2,3,0.272452,815.5327464375,3.82824
1990,2,4,0,802.706662130787,2.72894
1990,2,5,0,797.187573453704,2.0427
1990,2,6,0,791.564906230324,2.34704
1990,2,7,0,783.213885935185,3.69341
1990,2,8,2.12064,779.33322153588,5.90667
1990,2,9,0.000102153,784.186111835648,1.35347
1990,2,10,2.7061,805.186662097222,0.874089
1990,2,11,3.27501,830.684639920139,-0.174885
1990,2,12,4.21896,850.598792474537,-1.18254
1990,2,13,15.3814,959.237386163194,-1.17563
1990,2,14,32.0991,1518.0966097338,1.6086
1990,2,15,18.0668,2827.18819144676,1.73299
1990,2,16,1.81644,3353.97926167824,-0.953989
1990,2,17,0.25057,3078.49563939815,0.579003
1990,2,18,0,2606.69536101852,3.97597
1990,2,19,0,2375.91529769676,4.98673
1990,2,20,0,2338.13266887731,6.03948
1990,2,21,0,2400.9860140162,5.98093
1990,2,22,0,2373.45530722222,6.03077
1990,2,23,0,2291.82835056713,5.27831
1990,2,24,0,2216.58089074074,6.38051
1990,2,25,0.0148162,2215.06252341435,7.81137
1990,2,26,10.2133,2274.5024846412,5.54804
1990,2,27,15.6874,2627.5758543287,1.97949
1990,2,28,11.1363,3070.2211259838,1.68015
1990,3,1,3.76067,3156.6856715625,0.784625
1990,3,2,3.54113,2989.94775260417,-2.06131
1990,3,3,0.882018,2713.85207527778,-2.64799
1990,3,4,0,2458.78990502315,-0.255267
1990,3,5,0,2305.09346666667,2.18671
1990,3,6,0,2167.33400009259,5.03779
1990,3,7,0,2017.12156738426,5.1806
1990,3,8,0.0772293,1922.14710260417,5.92713
1990,3,9,2.47346,1848.74757820602,6.59681
1990,3,10,4.11528,1957.86993078704,5.8447
1990,3,11,0,2182.85901174769,8.96712
1990,3,12,0,2203.81012679398,7.56362
1990,3,13,0,2069.74653107639,6.09691
1990,3,14,1.23309,1954.92735844907,5.87572
1990,3,15,0,1877.74957116898,6.21454
1990,3,16,0,1814.9197666088,5.42606
1990,3,17,0,1720.33372137731,6.31148
1990,3,18,0,1622.94634728009,7.1451
1990,3,19,0,1539.04772478009,7.27084
1990,3,20,0.507404,1468.10819085648,7.8022
1990,3,21,0,1410.65740853009,11.3707
1990,3,22,5.48211,1408.39751297454,12.4795
1990,3,23,1.87984,1562.83547956019,6.00802
1990,3,24,0.503456,1725.17131030093,6.72531
1990,3,25,4.37747,1687.30628945602,2.36726
1990,3,26,2.24076,1597.72261719907,3.52753e-06
1990,3,27,5.89081,1521.20396612269,1.61548
1990,3,28,3.17408,1478.90154619213,2.24407
1990,3,29,7.33209,1559.16314928241,2.32623
1990,3,30,0.170246,1716.26120126157,4.15485
1990,3,31,0,1688.65987273148,6.31693
1990,4,1,0,1557.17397038194,8.57812
1990,4,2,0.00474208,1443.95555710648,8.85718
1990,4,3,5.05228,1386.39884217593,7.49322
1990,4,4,1.41258,1400.75859518519,2.67487
1990,4,5,0.975544,1402.11217846065,2.48687
1990,4,6,0.561013,1340.10629415509,4.09155
1990,4,7,12.8351,1466.89585105324,3.3414
1990,4,8,1.80959,1755.63281914352,1.49059
1990,4,9,0.504455,1802.01952947917,1.8126
1990,4,10,1.20587,1631.49157734954,2.53882
1990,4,11,9.43769,1488.01175015046,1.41774
1990,4,12,1.64905,1538.18849365741,1.58734
1990,4,13,0.0307247,1564.03604907407,3.88956
1990,4,14,1.92233,1473.6519971412,5.06632
1990,4,15,4.75898,1390.56552460648,3.95885
1990,4,16,0.711671,1383.64459446759,3.17574
1990,4,17,2.36901,1361.92841061343,3.85899
1990,4,18,4.47995,1324.93439118056,2.85884
1990,4,19,5.15595,1364.72973947917,2.89749
1990,4,20,0.588216,1465.83652501157,5.6429
1990,4,21,1.85974,1450.24089162037,6.71681
1990,4,22,1.1847,1350.53477052083,7.22866
1990,4,23,10.3236,1467.62560899306,5.26146
1990,4,24,5.13199,1764.93134773148,5.81916
1990,4,25,4.3226,1900.90173032407,5.94025
1990,4,26,3.33616,1959.72963650463,6.20915
1990,4,27,4.46347,1987.81354689815,6.30211
1990,4,28,0.356491,1981.79892903935,4.8542
1990,4,29,0,1856.20994165509,6.51954
1990,4,30,0,1667.90885260417,8.74067
