Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,1,0,15.5405336081481,-5.04877
1990,1,2,0,15.4518711276389,-5.69176
1990,1,3,2.1005,15.3106364308796,-6.17269
1990,1,4,1.13718,15.12524875125,-9.62283
1990,1,5,0,15.173350820787,-11.9899
1990,1,6,0,15.6641893843981,-10.8099
1990,1,7,0,16.301061882037,-8.54154
1990,1,8,0,16.6789949608796,-7.38489
1990,1,9,0,16.7132478028704,-9.3404
1990,1,10,0,16.5652941739352,-5.28051
1990,1,11,0,16.430696136713,-3.94001
1990,1,12,0,16.3930975407407,-2.1924
1990,1,13,0,16.4029976816204,-0.0922169
1990,1,14,0,16.4486315719907,-1.44631
1990,1,15,0,16.4908100115278,-2.71032
1990,1,16,0,16.4230996297222,-1.72894
1990,1,17,0,16.098232402963,1.09924
1990,1,18,0,15.7685659389352,0.614885
1990,1,19,6.48144,16.5909358130556,-1.46658
1990,1,20,0,18.8870006191667,-2.75049
1990,1,21,0.506411,21.7864529588889,-2.2108
1990,1,22,0.042868,22.8716290658333,-1.12555
1990,1,23,9.19957e-05,22.4207750047222,-3.47939
1990,1,24,0,21.8239418580093,-1.4539
1990,1,25,0.0255035,22.3442888747685,-1.44056
1990,1,26,0.0262322,22.4013312377315,0.000234119
1990,1,27,0.579733,21.2296043146759,1.15018
1990,1,28,0,20.30620364,-0.343115
1990,1,29,0,20.1596760701389,0.0485497
1990,1,30,0,20.92003979875,2.0718
1990,1,31,0,21.8094618735648,2.04535
1990,2,1,0,22.7701869020833,0.974517
1990,2,2,0,26.3637186476852,-0.0839248
1990,2,3,0.00438471,30.5719641268518,-0.730772
1990,2,4,0.882345,31.5213903796296,-0.790286
1990,2,5,0.0171873,31.0650514759259,0.636452
1990,2,6,0,33.8003424768519,0.664852
1990,2,7,0,47.5283550018519,0.238388
1990,2,8,0,57.8212106111111,-0.190475
1990,2,9,0.173835,56.8034980680556,-0.22126
1990,2,10,0.391569,52.8826583407407,-0.743155
1990,2,11,0,48.5490842083333,-2.41553
1990,2,12,0,44.281328187037,-2.78173
1990,2,13,2.1813,40.4891080185185,-1.59713
1990,2,14,9.2174,37.831976024537,-1.51483
1990,2,15,0.921428,36.0738097314815,0.494332
1990,2,16,6.65672,34.3345661453704,-1.69104
1990,2,17,0.790007,32.4620408842593,-2.48638
1990,2,18,0,32.565155925,-2.7395
1990,2,19,0.704637,32.5251165740741,0.457537
1990,2,20,0,30.4112582388889,0.312946
1990,2,21,0,28.2872529449074,0.922825
1990,2,22,0,26.6990344995833,2.48756
1990,2,23,0,25.1083478750926,4.38483
1990,2,24,0,25.2703152768519,5.67424
1990,2,25,0,35.1625031347222,5.41079
1990,2,26,0,52.3706482847222,6.89763
1990,2,27,0.114519,75.2479267384259,6.27392
1990,2,28,3.07579,152.569672461111,1.52751
1990,3,1,2.17952,210.124045480093,1.33203
1990,3,2,1.12355,238.950184209722,0.519998
1990,3,3,0.0186844,259.52136059537,-1.24086
1990,3,4,0.277585,235.041136893981,-3.40507
1990,3,5,0,201.589356163889,0.424264
1990,3,6,0,171.272985701852,2.25014
1990,3,7,0.00109258,146.374268510648,3.74209
1990,3,8,0,126.589070068519,5.0367
