Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,1,0.00040166,8.66739638958333,-2.42065
1990,1,2,0.0199105,5.1425622,-1.94459
1990,1,3,0,3.55600288541667,-0.199508
1990,1,4,0.0112744,3.2161118921875,-2.41443
1990,1,5,0,3.24498609947917,-1.64528
1990,1,6,0.11085,3.33982117291667,-1.9356
1990,1,7,0.00184627,3.4322254515625,-0.700908
1990,1,8,0.000641296,3.51231673229167,-0.268689
1990,1,9,0.00040166,3.57932261302083,-1.41878
1990,1,10,0.00496311,3.63705966875,-2.00894
1990,1,11,0.00112397,3.68680009114583,-1.38178
1990,1,12,0.000961944,3.7321673546875,-2.20865
1990,1,13,0.000320648,3.7748312109375,-2.00026
1990,1,14,0.494511,3.81249717135417,-2.01557
1990,1,15,0.623935,3.84590356145833,-1.27182
1990,1,16,0.0922063,3.90018752552083,2.86712
1990,1,17,0.677654,4.00509790260417,2.51545
1990,1,18,0.398471,4.04412692552083,0.174863
1990,1,19,0.00040166,4.00612019947917,-1.9841
1990,1,20,0.00614,3.99436378541667,0.348649
1990,1,21,0,3.99280762239583,1.92121
1990,1,22,0.00375813,4.0068244484375,0.2524
1990,1,23,9.02934,4.25887742239583,2.1247
1990,1,24,10.9228,6.88508994114583,4.37861
1990,1,25,21.8896,24.104056484375,5.61418
1990,1,26,4.4439,47.9227785520833,1.10234
1990,1,27,0.427142,48.1275786927083,2.64845
1990,1,28,26.5086,54.3351924947917,2.65391
1990,1,29,0.118929,60.9124234114583,-1.83509
1990,1,30,0.216026,64.5248798020833,2.20596
1990,1,31,0.12523,56.1068329791667,3.44114
1990,2,1,4.09442,42.4650763020833,3.85134
1990,2,2,8.94639,34.6788089479167,3.22457
1990,2,3,4.4111,34.918594359375,4.4024
1990,2,4,0,34.9372228802083,2.41228
1990,2,5,0,29.8590199479167,3.43188
1990,2,6,0.963015,22.713732734375,4.65349
1990,2,7,0.00245405,17.4867288125,6.47748
1990,2,8,1.22778,13.8973308958333,7.53379
1990,2,9,0.00369054,10.9165744619792,1.69258
1990,2,10,13.5263,10.010126540625,1.57772
1990,2,11,6.8884,11.8437636510417,-0.463821
1990,2,12,9.5296,13.0804021041667,-0.786546
1990,2,13,64.6636,26.0707284947917,1.24543
1990,2,14,79.0738,126.739823020833,5.35212
1990,2,15,20.6725,265.520031458333,4.47841
1990,2,16,8.95855,295.216619791667,2.13603
1990,2,17,0.148435,237.641995677083,5.24255
1990,2,18,0,196.722859427083,7.01968
1990,2,19,0,173.404267708333,7.57216
1990,2,20,0,149.84486828125,6.95505
1990,2,21,0.00841707,125.242726041667,6.44583
1990,2,22,0,102.261378703125,7.64652
1990,2,23,0,81.8441791041667,7.16415
1990,2,24,0,65.5611480677083,7.67861
1990,2,25,0.0925488,51.9877716927083,8.71411
1990,2,26,16.8767,45.4037254635417,6.60066
1990,2,27,26.7353,58.783092609375,3.61062
1990,2,28,44.1289,93.8453764739583,2.84281
1990,3,1,8.67671,149.813063489583,0.811801
1990,3,2,5.09527,148.367081354167,-2.19872
1990,3,3,0.00205938,120.036963177083,-3.49097
1990,3,4,0,94.9599072447917,-1.90984
1990,3,5,0,75.5016221145833,-0.225886
1990,3,6,0,59.7431429635417,2.48471
1990,3,7,0,50.1839856510417,3.82574
1990,3,8,0.00226889,44.0146511875,6.89674
1990,3,9,0.0711045,36.2916526510417,6.33744
1990,3,10,0.173008,29.187598078125,5.62176
1990,3,11,0.00367767,23.3304049270833,8.12762
1990,3,12,0,19.0230138385417,8.43199
1990,3,13,0.893523,15.52460034375,8.56273
1990,3,14,3.92407,12.919447140625,7.28395
1990,3,15,2.23481e-07,13.100734453125,6.81785
1990,3,16,0,12.2786941770833,7.52931
1990,3,17,0,9.35315313333333,6.93043
1990,3,18,0,7.2877158859375,6.83041
1990,3,19,0,6.26799747083333,6.59721
1990,3,20,1.01208,5.7531801234375,6.69462
1990,3,21,0,5.43966438958333,11.7182
1990,3,22,5.78475,5.35151968125,11.9715
1990,3,23,0.0518067,6.6121139578125,6.6938
1990,3,24,2.64392,8.81364163697917,5.81024
1990,3,25,2.92589,8.364364878125,1.53247
1990,3,26,2.79936,8.755836428125,-0.04548
1990,3,27,3.8564,8.71901102291667,0.0842867
1990,3,28,4.49838,7.43658502864583,-0.522958
1990,3,29,0.00810183,6.31406898333333,0.865156
1990,3,30,0.0403921,6.18378292604167,4.87921
1990,3,31,0,10.0364790822917,7.15761
1990,4,1,0,13.695029703125,8.00507
1990,4,2,0.000219443,11.5497965052083,8.05286
1990,4,3,8.91914,9.15704251614583,4.47508
1990,4,4,0.0139566,10.868855915625,1.94898
1990,4,5,4.82423,14.230031734375,3.25543
1990,4,6,13.7709,15.8613903697917,3.5687
1990,4,7,3.7913,24.50172996875,6.04176
1990,4,8,1.11466,30.4162853333333,2.50185
1990,4,9,0.0191184,27.3436016927083,2.28155
1990,4,10,0.210835,21.5801190885417,2.92754
1990,4,11,5.88607,16.737385203125,2.69565
1990,4,12,1.87611,15.9172759322917,3.2179
1990,4,13,4.03553,16.4032077135417,6.88527
1990,4,14,7.32578,16.91492409375,2.87226
1990,4,15,11.7409,23.0154239010417,2.48612
1990,4,16,3.38021,29.9151326875,2.42714
1990,4,17,5.17708,32.2491500416667,2.24311
1990,4,18,3.33805,31.7768488854167,2.14202
1990,4,19,0.104539,29.645587078125,2.44937
1990,4,20,5.38211e-05,25.339331875,3.76278
1990,4,21,4.38017,19.9577339479167,5.24269
1990,4,22,15.7377,25.6326174895833,4.29803
1990,4,23,11.2565,41.2862544166667,3.67079
1990,4,24,5.91439,51.1900393645833,5.41769
1990,4,25,1.62848,50.3594799479167,6.74776
1990,4,26,1.06073,45.806056078125,6.55781
1990,4,27,0.693284,38.0801042395833,6.44864
1990,4,28,0,30.6530038541667,8.90002
1990,4,29,0,23.4115071458333,10.0383
1990,4,30,0,17.408011953125,11.6768
1990,5,1,0,12.8113108489583,13.8786
1990,5,2,0.0145221,9.36657929895833,14.2071
1990,5,3,0.388479,7.0224639234375,14.3743
1990,5,4,0.0482901,5.76916203125,13.0922
1990,5,5,0.429242,5.24018019270833,12.9327
1990,5,6,3.04823,5.29957564114583,12.0485
1990,5,7,4.61784,6.77634027135417,11.2957
1990,5,8,2.63748,8.51873170625,11.5069
1990,5,9,6.79131,10.3195303692708,12.282
1990,5,10,3.62463,12.884007515625,11.3939
1990,5,11,0.155431,15.4934770833333,10.9944
1990,5,12,1.113,13.5903010677083,10.0421
1990,5,13,6.06034,13.0466663072917,11.7568
1990,5,14,1.08078,14.3205618020833,12.0203
1990,5,15,4.14133,13.8278147083333,13.7817
1990,5,16,0.0222869,14.0468134166667,14.6188
1990,5,17,1.77749,12.2769903489583,14.5478
1990,5,18,1.71559,10.496330934375,13.9729
1990,5,19,9.28206,11.1931852786458,12.5461
1990,5,20,10.1024,14.7308436145833,13.2641
1990,5,21,2.87812,19.2431484322917,12.886
1990,5,22,4.49144,22.447254015625,12.6105
1990,5,23,6.9144,21.4749360989583,14.2349
