Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,1,0,5.95296750967593,-4.41804
1990,1,2,0,5.05219271638889,-3.33486
1990,1,3,0,5.01905582342593,-2.39823
1990,1,4,0,4.98871620064815,-3.6296
1990,1,5,0,4.95512206159722,-4.11414
1990,1,6,0,4.92599279611111,-4.74131
1990,1,7,0,4.89100002196759,-4.7678
1990,1,8,0,4.85737898608796,-4.674
1990,1,9,0,4.82437657726852,-3.88942
1990,1,10,0,4.79175072405093,-1.66248
1990,1,11,0,4.76012005349537,-1.64232
1990,1,12,0,4.72701005736111,-2.23554
1990,1,13,0,4.69599801386574,-1.65518
1990,1,14,0,4.66541631962963,-2.44566
1990,1,15,6.882e-05,4.63451186344907,-2.24362
1990,1,16,0,4.60301567703704,2.19671
1990,1,17,0,4.57840507877315,1.34094
1990,1,18,0,4.54577922555556,-1.83593
1990,1,19,0,4.51245405479167,-2.00861
1990,1,20,0,4.47665437578704,-0.45195
1990,1,21,0,4.45225895215278,0.961424
1990,1,22,0,4.42450142493056,1.78482
1990,1,23,0,4.39354317509259,1.40833
1990,1,24,0.00041292,4.37027741826389,-0.0996838
1990,1,25,3.21941,4.34644682803241,-0.661882
1990,1,26,4.48297,4.31597272111111,-0.921388
1990,1,27,2.13236,4.31188440314815,-2.77762
1990,1,28,50.1296,4.49080210768518,-1.82697
1990,1,29,11.5327,4.44615337203704,-0.0809455
1990,1,30,4.0747,4.427729044375,0.39517
1990,1,31,0.671056,4.39787356451389,-0.810206
1990,2,1,2.66913,4.339857105,0.0295309
1990,2,2,1.69499,4.30784987884259,0.109698
1990,2,3,0.16892,4.26403494488426,-1.46637
1990,2,4,0,4.25295345145833,-0.185932
1990,2,5,0,4.33012045300926,1.02222
1990,2,6,0,4.45131756314815,1.50606
1990,2,7,0,4.48047372546296,1.68578
1990,2,8,0.00013637,4.41643237631944,2.26321
1990,2,9,0,4.34964755064815,0.429103
