Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,2,0,0.0169854166666667,-4.09932
1990,1,3,0,0.0168054398148148,-3.61863
1990,1,4,0,0.0166392361111111,-3.69602
1990,1,5,1.8406,0.0165528935185185,-2.98659
1990,1,6,4.19086,0.0165184027777778,-1.84748
1990,1,7,0,0.0163819444444444,-2.30328
1990,1,8,1.18735e-06,0.0162527777777778,-3.28471
1990,1,9,0,0.0161665509259259,-3.04306
1990,1,10,0,0.0160704861111111,-4.1593
1990,1,11,0,0.0159842592592593,-3.65345
1990,1,12,0,0.0158763888888889,-4.12299
1990,1,13,0,0.0158086805555556,-3.50189
1990,1,14,1.18735e-06,0.0157494212962963,-4.17877
1990,1,15,0.00578398,0.0156130787037037,-2.46759
1990,1,16,0.176342,0.0162915509259259,1.85252
1990,1,17,3.22153e-07,0.017199537037037,2.16012
1990,1,18,2.35194,0.0166069444444444,-0.831969
1990,1,19,0,0.0157689814814815,-2.25729
1990,1,20,1.88945,0.0154103009259259,-0.750952
1990,1,21,0.0114183,0.0173849537037037,2.01887
1990,1,22,0,0.0171318287037037,0.857308
1990,1,23,1.55232,0.0157185185185185,1.20313
1990,1,24,6.80017,0.0213444444444444,3.17888
1990,1,25,12.2029,0.0316815972222222,4.68656
1990,1,26,6.5478,0.0435804398148148,1.44916
1990,1,27,0,0.0395146990740741,1.51608
1990,1,28,5.19696,0.0364829861111111,4.10774
1990,1,29,0.0228343,0.0410460648148148,0.627355
1990,1,30,0,0.0366266203703704,1.28641
1990,1,31,0,0.0322002314814815,4.39918
1990,2,1,0,0.0288972222222222,3.87702
1990,2,2,6.94552,0.0300994212962963,2.40536
1990,2,3,6.14832,0.035356712962963,4.26076
1990,2,4,0,0.0349888888888889,3.13644
1990,2,5,0,0.0309075231481481,3.94023
1990,2,6,0,0.0273396990740741,3.99287
1990,2,7,0,0.0241627314814815,4.69266
1990,2,8,4.06008,0.0222069444444444,6.08401
1990,2,9,0.0142379,0.0238813657407407,1.2163
1990,2,10,8.76172,0.0238451388888889,1.16645
1990,2,11,5.53048,0.0241114583333333,-0.631172
1990,2,12,6.74655,0.0217318287037037,-0.561149
1990,2,13,44.0646,0.0238512731481481,-0.362464
1990,2,14,72.7375,0.0749347222222222,3.87827
1990,2,15,33.9275,0.127297453703704,3.98206
1990,2,16,18.2966,0.135081018518519,-0.853725
1990,2,17,0.431046,0.137032407407407,2.37508
1990,2,18,0,0.12678587962963,4.73309
1990,2,19,0,0.123357638888889,6.46439
1990,2,20,0,0.121578703703704,7.07415
1990,2,21,0,0.120142361111111,7.13943
1990,2,22,0,0.115820601851852,6.62226
1990,2,23,0,0.107438888888889,7.32682
1990,2,24,0,0.100727893518519,7.7241
1990,2,25,0.497292,0.0954758101851852,8.27463
1990,2,26,12.9327,0.0984113425925926,6.87567
1990,2,27,25.238,0.114221643518519,4.3483
1990,2,28,36.9024,0.131606481481481,1.9721
1990,3,1,14.6745,0.133350694444444,0.748579
1990,3,2,6.49319,0.12299537037037,-2.80864
1990,3,3,0.0236932,0.107029976851852,-3.50464
1990,3,4,0,0.0972159722222222,-1.57849
1990,3,5,0,0.0862440972222222,0.827757
1990,3,6,0,0.0791616898148148,2.97343
1990,3,7,0,0.0776533564814815,4.55857
1990,3,8,1.23948,0.0832262731481481,5.91394
1990,3,9,0.429427,0.0873368055555555,6.08613
1990,3,10,0.0376776,0.0889068287037037,5.53968
1990,3,11,0,0.086575462962963,7.95278
1990,3,12,0,0.082009375,7.69782
1990,3,13,0.182311,0.0762325231481482,7.26111
1990,3,14,23.7566,0.0906259259259259,5.76374
1990,3,15,0,0.0986659722222222,5.94449
1990,3,16,2.53457e-06,0.0890976851851852,6.46906
1990,3,17,0,0.0807149305555556,5.2284
1990,3,18,0,0.0722700231481481,7.51959
1990,3,19,0,0.0654157407407407,7.00634
1990,3,20,4.30582,0.060787962962963,6.00526
1990,3,21,0,0.0584872685185185,9.88703
1990,3,22,28.137,0.0741346064814815,11.404
1990,3,23,3.81432,0.0915193287037037,5.68487
1990,3,24,0.0127429,0.0840510416666667,5.97644
1990,3,25,13.9851,0.0834230324074074,1.36413
1990,3,26,8.42394,0.0812438657407407,-1.32309
1990,3,27,19.4266,0.0723096064814815,-1.34677
1990,3,28,2.04423,0.0647645833333333,-0.894581
1990,3,29,0.740238,0.0591700231481481,0.81126
