Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,1,0,2399.57898204167,-4.54821
1990,1,2,0,560.419445042593,-3.54098
1990,1,3,0,493.765809849074,-2.87192
1990,1,4,0,496.364914918981,-4.43726
1990,1,5,6.28354,525.49235569213,-3.36397
1990,1,6,0.15341,560.3241059125,-3.47539
1990,1,7,0,581.743333466667,-6.1833
1990,1,8,0,589.880127261111,-7.01379
1990,1,9,0.014749,591.694243792593,-5.53457
1990,1,10,0.00134245,591.333380730093,-4.77213
1990,1,11,0,590.218714825926,-4.9597
1990,1,12,0,588.761006257407,-5.91734
1990,1,13,0,587.166080623148,-5.13796
1990,1,14,0,585.627289243056,-4.87081
1990,1,15,0.158142,583.787333134259,-3.50835
1990,1,16,0.304007,588.710218122685,2.02253
1990,1,17,1.23475,668.563422224537,3.48598
1990,1,18,0.692267,731.718913261574,-0.587365
1990,1,19,0,717.12757125787,-2.27284
1990,1,20,1.92979,683.957573164815,0.309113
1990,1,21,0.301306,678.935784966667,2.28639
1990,1,22,0,683.413160001389,0.969087
1990,1,23,1.25893,667.08789325787,0.827089
1990,1,24,3.97933,662.144514811574,2.80289
1990,1,25,4.90411,719.696381650926,4.32173
1990,1,26,2.47543,803.463836206018,2.34502
1990,1,27,0.0294781,825.835564041203,0.773708
1990,1,28,3.36501,794.589277928241,2.89536
1990,1,29,0.494883,756.507087085648,1.19293
1990,1,30,0.0336246,715.934495601852,1.30332
1990,1,31,0.000374628,681.647158544907,2.38838
1990,2,1,0.0091529,653.966734101389,1.41336
1990,2,2,1.95267,635.977042170833,0.897529
1990,2,3,0.339824,626.866363617593,3.99216
1990,2,4,0,616.016414205092,2.10224
1990,2,5,0,609.570776194907,1.9432
1990,2,6,0,603.443232291667,1.70775
1990,2,7,0,598.356399640278,3.80497
1990,2,8,2.47551,599.447008006944,6.31468
1990,2,9,0.000134942,605.337540614815,0.731131
1990,2,10,3.22969,625.103035220833,0.640006
1990,2,11,2.88181,646.809171185185,-0.385105
1990,2,12,5.10367,670.389122014815,-1.192
1990,2,13,18.1872,850.057049204166,-1.37094
1990,2,14,37.0532,1475.76063184259,1.904
1990,2,15,17.2144,2377.07181918056,1.77479
1990,2,16,1.89509,2791.62774130093,-1.20461
1990,2,17,0.311737,2584.89330238426,0.847409
1990,2,18,0,2262.69159366667,4.21929
1990,2,19,0,2036.80022674074,5.23875
1990,2,20,0,1943.608454625,6.05992
1990,2,21,0,1916.05811908796,6.20549
1990,2,22,0,1979.02649594444,6.07122
1990,2,23,0,1955.04915023611,5.25728
1990,2,24,0,1840.50854113889,6.35774
1990,2,25,0.0195721,1728.14202061574,8.12117
1990,2,26,10.6843,1680.29425158796,5.27351
1990,2,27,15.649,1861.85737812037,1.57755
1990,2,28,12.373,2143.31274647222,1.96214
1990,3,1,3.24372,2274.00754649074,0.265934
1990,3,2,3.89599,2179.68417909259,-2.47535
1990,3,3,0.512712,1957.67765896296,-2.64571
1990,3,4,0,1759.00695020833,-0.696061
1990,3,5,0,1617.85157647685,1.83365
1990,3,6,0,1532.27802456944,5.15867
1990,3,7,0,1489.90111777315,4.60503
1990,3,8,0.102019,1458.02933568519,5.82557
1990,3,9,2.45531,1445.26102041204,6.61254
1990,3,10,2.51006,1481.75719581944,6.33399
1990,3,11,0,1552.58436825926,8.94884
1990,3,12,0,1519.82156626389,7.47832
1990,3,13,0,1426.12191280093,5.79881
1990,3,14,1.6289,1339.66625118519,5.86394
1990,3,15,0,1278.06113478704,5.87492
1990,3,16,0,1223.94058561111,5.34851
1990,3,17,0,1162.53149359259,6.15488
1990,3,18,0,1110.34445761574,6.8509
1990,3,19,0,1066.14987020833,6.89482
1990,3,20,0.670276,1027.31031244444,7.74362
1990,3,21,0,995.572183342592,11.3685
1990,3,22,6.48272,1024.51250993519,12.3851
1990,3,23,1.42606,1143.98936931944,5.27986
1990,3,24,0.654914,1211.76034347685,6.5229
1990,3,25,3.82584,1184.72679948611,1.68835
1990,3,26,2.64123,1121.8386144213,-0.395036
1990,3,27,5.40894,1064.41238138889,1.42224
1990,3,28,3.22706,1034.88398165741,1.54093
1990,3,29,6.8048,1072.2088055787,2.19689
1990,3,30,0.0979744,1130.53496871759,4.22797
1990,3,31,0,1113.40956609722,6.03253
1990,4,1,0,1058.87914776389,8.40387
1990,4,2,0.00626424,1015.61122106018,8.49514
1990,4,3,6.31576,1006.6030097963,6.88532
1990,4,4,1.19504,1035.87301375463,2.01496
1990,4,5,1.20117,1018.22190938889,2.18888
1990,4,6,0.363519,972.655151324074,3.75222
1990,4,7,11.3995,1009.2493389213,2.70899
1990,4,8,1.94487,1095.43769456481,1.5672
1990,4,9,0.649354,1097.64742393519,1.95595
1990,4,10,1.56856,1038.8401100463,2.52792
1990,4,11,11.3408,1031.44464481481,1.23806
1990,4,12,1.80017,1108.85645437037,1.20103
1990,4,13,0.040587,1110.37118821296,3.6252
1990,4,14,2.49725,1061.65021967593,4.55815
1990,4,15,5.19518,1029.04780126389,2.94724
1990,4,16,0.777962,1009.213698125,2.64177
1990,4,17,3.12943,991.357659180556,3.52356
1990,4,18,4.8445,979.970424763889,2.43066
1990,4,19,3.80123,1014.88949493518,2.6358
1990,4,20,0.139602,1046.01282030093,5.76064
1990,4,21,1.36466,1012.28771680556,6.85498
1990,4,22,1.40543,974.312448351852,7.18694
1990,4,23,9.25377,1070.33766377315,4.95098
1990,4,24,4.67168,1201.23739837037,5.52698
1990,4,25,4.34172,1276.98300069907,5.77057
1990,4,26,2.97821,1333.93699318056,5.98526
1990,4,27,4.41089,1351.89104431481,6.06589
1990,4,28,0.211161,1315.79582786574,4.70373
1990,4,29,0,1229.1352316713,6.63936
1990,4,30,0,1127.6124234213,9.23413
1990,5,1,0,1050.09369147685,11.9698
1990,5,2,0,1015.62013125926,13.3121
1990,5,3,0,1022.77502111574,11.7355
1990,5,4,0,1046.89493000926,12.5181
1990,5,5,0,1061.73932166667,13.7214
1990,5,6,0.793809,1071.39797746296,12.2854
1990,5,7,2.77946,1086.66114847685,11.9105
1990,5,8,1.70571,1122.96129950463,11.4191
1990,5,9,1.40418,1156.0003176713,12.7128
1990,5,10,3.31764,1205.16679616204,13.234
1990,5,11,9.21508,1307.45588153241,10.6683
1990,5,12,1.07459,1356.26595206019,10.642
1990,5,13,2.16271,1318.16594081944,12.2244
1990,5,14,1.92218,1270.71022055093,12.623
1990,5,15,1.8057,1247.4189601713,13.2956
1990,5,16,0.291333,1235.71986878704,14.705
1990,5,17,0.341273,1220.89329752778,14.3989
1990,5,18,0.368398,1201.20175757407,12.7783
1990,5,19,0.57935,1170.47939116667,12.5163
1990,5,20,0.538411,1143.54385936574,12.3289
1990,5,21,4.50549,1123.07713209259,12.9613
1990,5,22,0.406778,1143.11616981019,13.6385
1990,5,23,1.66435,1162.80770976389,14.5363
1990,5,24,9.0481,1179.80836959722,13.3525
1990,5,25,10.7565,1291.12348662963,8.72331
1990,5,26,0.00118298,1498.41035788889,8.73284
1990,5,27,0.00725954,1546.66799607407,9.19115
1990,5,28,1.85126,1423.21718790278,7.95184
1990,5,29,0,1310.82393678241,6.77338
1990,5,30,0,1236.19210933796,8.82993
1990,5,31,0,1177.27787306019,10.9324
1990,6,1,0.0861657,1125.15320847685,13.7026
1990,6,2,12.0927,1133.52879560648,11.6002
1990,6,3,4.62766,1253.73629131481,10.1798
1990,6,4,3.11712,1346.17069650926,10.2087
1990,6,5,10.4798,1393.67096777315,11.7849
1990,6,6,4.26384,1468.54337059259,10.2632
1990,6,7,7.91608,1525.56864466667,12.2432
1990,6,8,11.632,1593.62474519444,9.35555
1990,6,9,5.85361,1690.12220116667,8.35834
1990,6,10,14.5873,1917.69759571759,7.2605
1990,6,11,1.00528,2018.81053481019,9.77116
1990,6,12,15.2484,2022.21423085648,10.5539
1990,6,13,5.81151,2157.72944857407,10.3686
1990,6,14,5.09834,2176.36067483796,11.1872
1990,6,15,4.94138,2150.47654652778,10.7181
1990,6,16,0.911806,2058.31835750463,11.3992
1990,6,17,0.0211029,1905.49953318519,13.316
1990,6,18,2.15371,1755.65671535648,13.8999
1990,6,19,0.274776,1649.09073443056,16.631
1990,6,20,16.463,1687.47587204167,16.0581
1990,6,21,0.916078,1795.07543606019,13.8138
1990,6,22,6.89261,1853.61544397685,12.0006
1990,6,23,4.63345,1854.54210468056,10.3609
1990,6,24,0.228136,1797.91778956481,13.0279
1990,6,25,0,1697.97208655093,16.381
1990,6,26,0.0301976,1580.67822593981,18.8484
1990,6,27,9.73748,1553.21699239352,18.8564
1990,6,28,4.07929,1637.51638583333,16.435
1990,6,29,6.74651,1671.277130125,18.3087
1990,6,30,16.425,1756.89523302778,19.5003
1990,7,1,4.79592,1913.04647180093,13.9489
1990,7,2,3.28603,2023.72896469907,12.0491
1990,7,3,25.3601,2314.01434033333,11.8644
1990,7,4,2.51661,2594.00843603704,10.595
1990,7,5,10.5343,2689.98019026389,12.4085
1990,7,6,3.54794,2731.57299954167,9.89976
1990,7,7,12.0339,2614.13657574537,10.5389
1990,7,8,5.76196,2601.31479927778,13.0911
1990,7,9,11.8029,2657.93020419444,17.3984
1990,7,10,2.95542,2733.73817791667,11.4061
1990,7,11,0.0505003,2613.83362897685,11.3319
1990,7,12,0,2476.82149781481,14.749
1990,7,13,0,2391.70236606018,17.5072
1990,7,14,0.0115426,2233.59088349074,15.3594
1990,7,15,0.000150983,2038.07438520833,15.0727
1990,7,16,0.186732,1876.59484738889,17.4352
1990,7,17,5.93437,1783.64365064815,16.1052
1990,7,18,2.89735e-06,1761.4572549537,12.9965
1990,7,19,0,1717.73490809722,13.0355
1990,7,20,0,1647.460168,15.5471
1990,7,21,0,1562.75090540278,18.1657
1990,7,22,0,1479.85932341667,18.313
1990,7,23,0.000877126,1412.80116518519,17.0141
1990,7,24,0.0264942,1350.41195126852,14.9164
1990,7,25,0.0291036,1287.64850899074,15.0269
1990,7,26,0.796838,1229.15305206944,16.037
1990,7,27,0.0116463,1177.47389743981,17.1521
1990,7,28,0.00641831,1132.71796749074,19.2548
1990,7,29,2.39581,1095.87429431944,20.6565
1990,7,30,9.89121,1106.12102325463,19.0231
1990,7,31,10.383,1327.66421303241,17.9268
1990,8,1,0.169055,1438.89022807407,18.4418
1990,8,2,0,1399.08836881019,19.3544
1990,8,3,0,1307.41133053704,18.7561
1990,8,4,0,1211.71579248148,18.4648
1990,8,5,3.81065,1136.21076552778,20.5357
1990,8,6,13.2396,1134.86532546759,15.1335
1990,8,7,2.77446,1269.73009865278,11.6475
1990,8,8,0.328654,1414.03968285648,11.9957
1990,8,9,0,1290.53541349074,13.4303
1990,8,10,0.00410379,1167.16479711111,16.3295
1990,8,11,0,1107.92979366667,17.1734
1990,8,12,0.845284,1064.33218959722,18.8661
1990,8,13,2.7832,1008.13556403704,19.0522
1990,8,14,11.1054,1008.07319264352,17.178
1990,8,15,1.00597,1105.99628046759,15.6211
1990,8,16,10.7804,1202.05713668519,17.3328
1990,8,17,7.28059,1265.06115433796,11.2496
1990,8,18,0.597301,1315.43941990278,12.9082
1990,8,19,0.0322078,1281.00150048148,14.9722
1990,8,20,1.13003,1206.21819965278,17.3604
